"data e hora","caso de teste","mensagem"
"[2021/07/16 19:02:07.480]","Consultar Curso Mantis","Iniciou o teste"
"[2021/07/16 19:02:11.086]","Consultar Curso Mantis","Abriu o site"
"[2021/07/16 19:02:11.849]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/07/16 19:02:11.880]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/07/16 19:02:11.913]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/07/16 19:02:14.330]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/07/16 19:02:14.360]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/07/16 19:02:16.335]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/07/16 19:02:16.363]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/07/16 19:02:16.383]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/07/16 19:02:16.608]","Consultar Curso Mantis","Concluiu o teste"
