"data e hora","caso de teste","mensagem"
"[2021/07/16 19:06:47.586]","Consultar Curso Mantis","Iniciou o teste"
"[2021/07/16 19:06:52.448]","Consultar Curso Mantis","Abriu o site"
"[2021/07/16 19:06:53.193]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/07/16 19:06:53.222]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/07/16 19:06:53.256]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/07/16 19:06:55.516]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/07/16 19:06:55.547]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/07/16 19:06:57.572]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/07/16 19:06:57.596]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/07/16 19:06:57.621]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/07/16 19:06:57.880]","Consultar Curso Mantis","Concluiu o teste"
